;id;client_id;etf_id;date;type;amount;frequency
131;131;2;HEEM;2019-11-08;buy;300;monthly
132;132;2;HEEM;2019-12-08;sell;37;monthly
133;133;2;HEEM;2020-01-08;buy;300;monthly
134;134;2;HEEM;2020-02-08;buy;300;monthly
135;135;2;HEEM;2020-03-08;buy;300;monthly
136;136;2;HEEM;2020-04-08;buy;300;monthly
137;137;2;HEEM;2020-05-08;buy;300;monthly
138;138;2;HEEM;2020-06-08;buy;300;monthly
139;139;2;HEEM;2020-07-08;buy;300;monthly
140;140;2;HEEM;2020-08-08;buy;300;monthly
141;141;2;HEEM;2020-09-08;buy;300;monthly
142;142;2;HEEM;2020-10-08;buy;300;monthly
143;143;2;HEEM;2020-11-08;buy;300;monthly
144;144;2;HEEM;2020-12-08;buy;300;monthly
145;145;2;HEEM;2021-01-08;sell;222;monthly
146;146;2;HEEM;2021-02-08;buy;300;monthly
147;147;2;HEEM;2021-03-08;buy;300;monthly
148;148;2;HEEM;2021-04-08;buy;300;monthly
149;149;2;HEEM;2021-05-08;buy;300;monthly
150;150;2;HEEM;2021-06-08;sell;599;monthly
151;151;2;HEEM;2021-07-08;sell;178;monthly
152;152;2;HEEM;2021-08-08;sell;370;monthly
153;153;2;HEEM;2021-09-08;buy;300;monthly
154;154;2;HEEM;2021-10-08;buy;300;monthly
155;155;2;HEEM;2021-11-08;buy;300;monthly
156;156;2;HEEM;2021-12-08;buy;300;monthly
157;157;2;HEEM;2022-01-08;sell;8;monthly
158;158;2;HEEM;2022-02-08;buy;300;monthly
159;159;2;HEEM;2022-03-08;buy;300;monthly
160;160;2;HEEM;2022-04-08;buy;300;monthly
161;161;2;HEEM;2022-05-08;sell;67;monthly
162;162;2;HEEM;2022-06-08;buy;300;monthly
163;163;2;HEEM;2022-07-08;buy;300;monthly
164;164;2;HEEM;2022-08-08;buy;300;monthly
165;165;2;HEEM;2022-09-08;buy;300;monthly
166;166;2;HEEM;2022-10-08;buy;300;monthly
167;167;2;HEEM;2022-11-08;buy;300;monthly
168;168;2;HEEM;2022-12-08;sell;151;monthly
169;169;2;HEEM;2023-01-08;buy;300;monthly
170;170;2;HEEM;2023-02-08;sell;376;monthly
171;171;2;HEEM;2023-03-08;sell;431;monthly
172;172;2;HEEM;2023-04-08;buy;300;monthly
173;173;2;HEEM;2023-05-08;buy;300;monthly
174;174;2;HEEM;2023-06-08;buy;300;monthly
175;175;2;HEEM;2023-07-08;sell;903;monthly
176;176;2;HEEM;2023-08-08;buy;300;monthly
177;177;2;HEEM;2023-09-08;buy;300;monthly
178;178;2;HEEM;2023-10-08;buy;300;monthly
179;179;2;HEEM;2023-11-08;buy;300;monthly
180;180;2;FLKR;2019-06-08;buy;400;quarterly
181;181;2;FLKR;2019-09-08;sell;19;quarterly
182;182;2;FLKR;2019-12-08;sell;10;quarterly
183;183;2;FLKR;2020-03-08;sell;24;quarterly
184;184;2;FLKR;2020-06-08;buy;400;quarterly
185;185;2;FLKR;2020-09-08;buy;400;quarterly
186;186;2;FLKR;2020-12-08;buy;400;quarterly
187;187;2;FLKR;2021-03-08;buy;400;quarterly
188;188;2;FLKR;2021-06-08;buy;400;quarterly
189;189;2;FLKR;2021-09-08;buy;400;quarterly
190;190;2;FLKR;2021-12-08;buy;400;quarterly
191;191;2;FLKR;2022-03-08;buy;400;quarterly
192;192;2;FLKR;2022-06-08;sell;39;quarterly
193;193;2;FLKR;2022-09-08;buy;400;quarterly
194;194;2;FLKR;2022-12-08;buy;400;quarterly
195;195;2;FLKR;2023-03-08;buy;400;quarterly
196;196;2;FLKR;2023-06-08;buy;400;quarterly
197;197;2;FLKR;2023-09-08;buy;400;quarterly
198;198;3;SUSL;2022-08-26;buy;300;quarterly
199;199;3;SUSL;2022-11-26;buy;300;quarterly
200;200;3;SUSL;2023-02-26;buy;300;quarterly
201;201;3;SUSL;2023-05-26;buy;300;quarterly
202;202;3;SUSL;2023-08-26;buy;300;quarterly
203;203;3;FLBR;2022-08-26;buy;100;monthly
204;204;3;FLBR;2022-09-26;buy;100;monthly
205;205;3;FLBR;2022-10-26;buy;100;monthly
206;206;3;FLBR;2022-11-26;buy;100;monthly
207;207;3;FLBR;2022-12-26;buy;100;monthly
208;208;3;FLBR;2023-01-26;buy;100;monthly
209;209;3;FLBR;2023-02-26;buy;100;monthly
210;210;3;FLBR;2023-03-26;buy;100;monthly
211;211;3;FLBR;2023-04-26;buy;100;monthly
212;212;3;FLBR;2023-05-26;buy;100;monthly
213;213;3;FLBR;2023-06-26;buy;100;monthly
214;214;3;FLBR;2023-07-26;sell;25;monthly
215;215;3;FLBR;2023-08-26;buy;100;monthly
216;216;3;FLBR;2023-09-26;buy;100;monthly
217;217;3;FLBR;2023-10-26;buy;100;monthly
218;218;3;VEA;2022-08-26;buy;1200;monthly
219;219;3;VEA;2022-09-26;buy;1200;monthly
220;220;3;VEA;2022-10-26;buy;1200;monthly
221;221;3;VEA;2022-11-26;buy;1200;monthly
222;222;3;VEA;2022-12-26;buy;1200;monthly
223;223;3;VEA;2023-01-26;buy;1200;monthly
224;224;3;VEA;2023-02-26;buy;1200;monthly
225;225;3;VEA;2023-03-26;buy;1200;monthly
226;226;3;VEA;2023-04-26;sell;826;monthly
227;227;3;VEA;2023-05-26;sell;365;monthly
228;228;3;VEA;2023-06-26;buy;1200;monthly
229;229;3;VEA;2023-07-26;buy;1200;monthly
230;230;3;VEA;2023-08-26;buy;1200;monthly
231;231;3;VEA;2023-09-26;buy;1200;monthly
232;232;3;VEA;2023-10-26;sell;256;monthly
233;233;4;PRFZ;2019-03-31;buy;300;quarterly
234;234;4;PRFZ;2019-06-30;buy;300;quarterly
235;235;4;PRFZ;2019-09-30;buy;300;quarterly
236;236;4;PRFZ;2019-12-31;buy;300;quarterly
237;237;4;PRFZ;2020-03-31;buy;300;quarterly
238;238;4;PRFZ;2020-06-30;buy;300;quarterly
239;239;4;PRFZ;2020-09-30;buy;300;quarterly
240;240;4;PRFZ;2020-12-31;sell;167;quarterly
241;241;4;PRFZ;2021-03-31;buy;300;quarterly
242;242;4;PRFZ;2021-06-30;buy;300;quarterly
243;243;4;PRFZ;2021-09-30;buy;300;quarterly
244;244;4;PRFZ;2021-12-31;buy;300;quarterly
245;245;4;PRFZ;2022-03-31;buy;300;quarterly
246;246;4;PRFZ;2022-06-30;sell;211;quarterly
247;247;4;PRFZ;2022-09-30;buy;300;quarterly
248;248;4;PRFZ;2022-12-31;sell;36;quarterly
249;249;4;PRFZ;2023-03-31;buy;300;quarterly
250;250;4;PRFZ;2023-06-30;buy;300;quarterly
251;251;4;PRFZ;2023-09-30;sell;183;quarterly
252;252;4;EUSA;2019-03-31;buy;300;quarterly
253;253;4;EUSA;2019-06-30;buy;300;quarterly
254;254;4;EUSA;2019-09-30;buy;300;quarterly
255;255;4;EUSA;2019-12-31;buy;300;quarterly
256;256;4;EUSA;2020-03-31;sell;5;quarterly
257;257;4;EUSA;2020-06-30;buy;300;quarterly
258;258;4;EUSA;2020-09-30;buy;300;quarterly
259;259;4;EUSA;2020-12-31;buy;300;quarterly
260;260;4;EUSA;2021-03-31;sell;135;quarterly
261;261;4;EUSA;2021-06-30;buy;300;quarterly
262;262;4;EUSA;2021-09-30;buy;300;quarterly
263;263;4;EUSA;2021-12-31;buy;300;quarterly
264;264;4;EUSA;2022-03-31;sell;153;quarterly
265;265;4;EUSA;2022-06-30;sell;181;quarterly
266;266;4;EUSA;2022-09-30;sell;150;quarterly
267;267;4;EUSA;2022-12-31;buy;300;quarterly
268;268;4;EUSA;2023-03-31;buy;300;quarterly
269;269;4;EUSA;2023-06-30;buy;300;quarterly
270;270;4;EUSA;2023-09-30;buy;300;quarterly
271;271;4;EMDV;2019-03-31;buy;100;monthly
272;272;4;EMDV;2019-04-30;buy;100;monthly
273;273;4;EMDV;2019-05-31;buy;100;monthly
274;274;4;EMDV;2019-06-30;buy;100;monthly
275;275;4;EMDV;2019-07-31;buy;100;monthly
276;276;4;EMDV;2019-08-31;buy;100;monthly
277;277;4;EMDV;2019-09-30;sell;45;monthly
278;278;4;EMDV;2019-10-31;buy;100;monthly
279;279;4;EMDV;2019-11-30;buy;100;monthly
280;280;4;EMDV;2019-12-31;buy;100;monthly
281;281;4;EMDV;2020-01-31;buy;100;monthly
282;282;4;EMDV;2020-02-29;buy;100;monthly
283;283;4;EMDV;2020-03-31;buy;100;monthly
284;284;4;EMDV;2020-04-30;buy;100;monthly
285;285;4;EMDV;2020-05-31;sell;5;monthly
286;286;4;EMDV;2020-06-30;buy;100;monthly
287;287;4;EMDV;2020-07-31;buy;100;monthly
288;288;4;EMDV;2020-08-31;buy;100;monthly
289;289;4;EMDV;2020-09-30;buy;100;monthly
290;290;4;EMDV;2020-10-31;buy;100;monthly
291;291;4;EMDV;2020-11-30;buy;100;monthly
292;292;4;EMDV;2020-12-31;buy;100;monthly
293;293;4;EMDV;2021-01-31;buy;100;monthly
294;294;4;EMDV;2021-02-28;sell;112;monthly
295;295;4;EMDV;2021-03-31;sell;35;monthly
296;296;4;EMDV;2021-04-30;buy;100;monthly
297;297;4;EMDV;2021-05-31;buy;100;monthly
298;298;4;EMDV;2021-06-30;buy;100;monthly
299;299;4;EMDV;2021-07-31;sell;127;monthly
300;300;4;EMDV;2021-08-31;buy;100;monthly
301;301;4;EMDV;2021-09-30;buy;100;monthly
302;302;4;EMDV;2021-10-31;buy;100;monthly
303;303;4;EMDV;2021-11-30;buy;100;monthly
304;304;4;EMDV;2021-12-31;buy;100;monthly
305;305;4;EMDV;2022-01-31;sell;72;monthly
306;306;4;EMDV;2022-02-28;sell;157;monthly
307;307;4;EMDV;2022-03-31;buy;100;monthly
308;308;4;EMDV;2022-04-30;buy;100;monthly
309;309;4;EMDV;2022-05-31;sell;83;monthly
310;310;4;EMDV;2022-06-30;buy;100;monthly
311;311;4;EMDV;2022-07-31;buy;100;monthly
312;312;4;EMDV;2022-08-31;buy;100;monthly
313;313;4;EMDV;2022-09-30;buy;100;monthly
314;314;4;EMDV;2022-10-31;sell;128;monthly
315;315;4;EMDV;2022-11-30;buy;100;monthly
316;316;4;EMDV;2022-12-31;buy;100;monthly
317;317;4;EMDV;2023-01-31;buy;100;monthly
318;318;4;EMDV;2023-02-28;sell;149;monthly
319;319;4;EMDV;2023-03-31;sell;244;monthly
320;320;4;EMDV;2023-04-30;buy;100;monthly
321;321;4;EMDV;2023-05-31;sell;208;monthly
322;322;4;EMDV;2023-06-30;buy;100;monthly
323;323;4;EMDV;2023-07-31;buy;100;monthly
324;324;4;EMDV;2023-08-31;buy;100;monthly
325;325;4;EMDV;2023-09-30;buy;100;monthly
326;326;4;EMDV;2023-10-31;buy;100;monthly
327;327;4;EMDV;2023-11-30;buy;100;monthly
328;328;4;FUTY;2019-03-31;buy;200;quarterly
329;329;4;FUTY;2019-06-30;buy;200;quarterly
330;330;4;FUTY;2019-09-30;buy;200;quarterly
331;331;4;FUTY;2019-12-31;sell;27;quarterly
332;332;4;FUTY;2020-03-31;sell;30;quarterly
333;333;4;FUTY;2020-06-30;buy;200;quarterly
334;334;4;FUTY;2020-09-30;buy;200;quarterly
335;335;4;FUTY;2020-12-31;sell;23;quarterly
336;336;4;FUTY;2021-03-31;buy;200;quarterly
337;337;4;FUTY;2021-06-30;buy;200;quarterly
338;338;4;FUTY;2021-09-30;buy;200;quarterly
339;339;4;FUTY;2021-12-31;buy;200;quarterly
340;340;4;FUTY;2022-03-31;buy;200;quarterly
341;341;4;FUTY;2022-06-30;buy;200;quarterly
342;342;4;FUTY;2022-09-30;buy;200;quarterly
343;343;4;FUTY;2022-12-31;sell;53;quarterly
344;344;4;FUTY;2023-03-31;buy;200;quarterly
345;345;4;FUTY;2023-06-30;sell;215;quarterly
346;346;4;FUTY;2023-09-30;sell;38;quarterly
347;347;5;HLAL;2019-07-15;buy;200;monthly
348;348;5;HLAL;2019-08-15;buy;200;monthly
349;349;5;HLAL;2019-09-15;buy;200;monthly
350;350;5;HLAL;2019-10-15;buy;200;monthly
351;351;5;HLAL;2019-11-15;buy;200;monthly
352;352;5;HLAL;2019-12-15;buy;200;monthly
353;353;5;HLAL;2020-01-15;sell;79;monthly
354;354;5;HLAL;2020-02-15;buy;200;monthly
355;355;5;HLAL;2020-03-15;buy;200;monthly
356;356;5;HLAL;2020-04-15;buy;200;monthly
357;357;5;HLAL;2020-05-15;buy;200;monthly
358;358;5;HLAL;2020-06-15;buy;200;monthly
359;359;5;HLAL;2020-07-15;sell;4;monthly
360;360;5;HLAL;2020-08-15;buy;200;monthly
361;361;5;HLAL;2020-09-15;buy;200;monthly
362;362;5;HLAL;2020-10-15;buy;200;monthly
363;363;5;HLAL;2020-11-15;sell;209;monthly
364;364;5;HLAL;2020-12-15;buy;200;monthly
365;365;5;HLAL;2021-01-15;buy;200;monthly
366;366;5;HLAL;2021-02-15;buy;200;monthly
367;367;5;HLAL;2021-03-15;buy;200;monthly
368;368;5;HLAL;2021-04-15;buy;200;monthly
369;369;5;HLAL;2021-05-15;sell;213;monthly
370;370;5;HLAL;2021-06-15;buy;200;monthly
371;371;5;HLAL;2021-07-15;buy;200;monthly
372;372;5;HLAL;2021-08-15;buy;200;monthly
373;373;5;HLAL;2021-09-15;buy;200;monthly
374;374;5;HLAL;2021-10-15;buy;200;monthly
375;375;5;HLAL;2021-11-15;sell;353;monthly
376;376;5;HLAL;2021-12-15;sell;25;monthly
377;377;5;HLAL;2022-01-15;sell;308;monthly
378;378;5;HLAL;2022-02-15;buy;200;monthly
379;379;5;HLAL;2022-03-15;buy;200;monthly
380;380;5;HLAL;2022-04-15;buy;200;monthly
381;381;5;HLAL;2022-05-15;sell;187;monthly
382;382;5;HLAL;2022-06-15;buy;200;monthly
383;383;5;HLAL;2022-07-15;sell;35;monthly
384;384;5;HLAL;2022-08-15;buy;200;monthly
385;385;5;HLAL;2022-09-15;buy;200;monthly
386;386;5;HLAL;2022-10-15;buy;200;monthly
387;387;5;HLAL;2022-11-15;buy;200;monthly
388;388;5;HLAL;2022-12-15;buy;200;monthly
389;389;5;HLAL;2023-01-15;buy;200;monthly
390;390;5;HLAL;2023-02-15;buy;200;monthly
391;391;5;HLAL;2023-03-15;sell;288;monthly
392;392;5;HLAL;2023-04-15;buy;200;monthly
393;393;5;HLAL;2023-05-15;buy;200;monthly
394;394;5;HLAL;2023-06-15;buy;200;monthly
395;395;5;HLAL;2023-07-15;sell;97;monthly
396;396;5;HLAL;2023-08-15;buy;200;monthly
397;397;5;HLAL;2023-09-15;sell;254;monthly
398;398;5;HLAL;2023-10-15;sell;167;monthly
399;399;5;HLAL;2023-11-15;buy;200;monthly
400;400;5;IPAC;2019-07-15;buy;300;monthly
401;401;5;IPAC;2019-08-15;buy;300;monthly
402;402;5;IPAC;2019-09-15;buy;300;monthly
403;403;5;IPAC;2019-10-15;buy;300;monthly
404;404;5;IPAC;2019-11-15;buy;300;monthly
405;405;5;IPAC;2019-12-15;sell;3;monthly
406;406;5;IPAC;2020-01-15;sell;1;monthly
407;407;5;IPAC;2020-02-15;buy;300;monthly
408;408;5;IPAC;2020-03-15;buy;300;monthly
409;409;5;IPAC;2020-04-15;sell;29;monthly
410;410;5;IPAC;2020-05-15;buy;300;monthly
411;411;5;IPAC;2020-06-15;buy;300;monthly
412;412;5;IPAC;2020-07-15;buy;300;monthly
413;413;5;IPAC;2020-08-15;buy;300;monthly
414;414;5;IPAC;2020-09-15;buy;300;monthly
415;415;5;IPAC;2020-10-15;buy;300;monthly
416;416;5;IPAC;2020-11-15;buy;300;monthly
417;417;5;IPAC;2020-12-15;buy;300;monthly
418;418;5;IPAC;2021-01-15;sell;306;monthly
419;419;5;IPAC;2021-02-15;buy;300;monthly
420;420;5;IPAC;2021-03-15;sell;240;monthly
421;421;5;IPAC;2021-04-15;buy;300;monthly
422;422;5;IPAC;2021-05-15;sell;271;monthly
423;423;5;IPAC;2021-06-15;buy;300;monthly
424;424;5;IPAC;2021-07-15;buy;300;monthly
425;425;5;IPAC;2021-08-15;buy;300;monthly
426;426;5;IPAC;2021-09-15;buy;300;monthly
427;427;5;IPAC;2021-10-15;buy;300;monthly
428;428;5;IPAC;2021-11-15;buy;300;monthly
429;429;5;IPAC;2021-12-15;buy;300;monthly
430;430;5;IPAC;2022-01-15;buy;300;monthly
431;431;5;IPAC;2022-02-15;buy;300;monthly
432;432;5;IPAC;2022-03-15;sell;359;monthly
433;433;5;IPAC;2022-04-15;buy;300;monthly
434;434;5;IPAC;2022-05-15;buy;300;monthly
435;435;5;IPAC;2022-06-15;buy;300;monthly
436;436;5;IPAC;2022-07-15;buy;300;monthly
437;437;5;IPAC;2022-08-15;buy;300;monthly
438;438;5;IPAC;2022-09-15;buy;300;monthly
439;439;5;IPAC;2022-10-15;buy;300;monthly
440;440;5;IPAC;2022-11-15;buy;300;monthly
441;441;5;IPAC;2022-12-15;buy;300;monthly
442;442;5;IPAC;2023-01-15;buy;300;monthly
443;443;5;IPAC;2023-02-15;buy;300;monthly
444;444;5;IPAC;2023-03-15;buy;300;monthly
445;445;5;IPAC;2023-04-15;buy;300;monthly
446;446;5;IPAC;2023-05-15;buy;300;monthly
447;447;5;IPAC;2023-06-15;buy;300;monthly
448;448;5;IPAC;2023-07-15;sell;677;monthly
449;449;5;IPAC;2023-08-15;sell;758;monthly
450;450;5;IPAC;2023-09-15;buy;300;monthly
451;451;5;IPAC;2023-10-15;buy;300;monthly
452;452;5;IPAC;2023-11-15;sell;816;monthly
453;453;5;IVLU;2019-07-15;buy;100;monthly
454;454;5;IVLU;2019-08-15;buy;100;monthly
455;455;5;IVLU;2019-09-15;buy;100;monthly
456;456;5;IVLU;2019-10-15;buy;100;monthly
457;457;5;IVLU;2019-11-15;buy;100;monthly
458;458;5;IVLU;2019-12-15;buy;100;monthly
459;459;5;IVLU;2020-01-15;buy;100;monthly
460;460;5;IVLU;2020-02-15;sell;47;monthly
461;461;5;IVLU;2020-03-15;sell;16;monthly
462;462;5;IVLU;2020-04-15;buy;100;monthly
463;463;5;IVLU;2020-05-15;sell;38;monthly
464;464;5;IVLU;2020-06-15;buy;100;monthly
465;465;5;IVLU;2020-07-15;buy;100;monthly
466;466;5;IVLU;2020-08-15;sell;17;monthly
467;467;5;IVLU;2020-09-15;buy;100;monthly
468;468;5;IVLU;2020-10-15;buy;100;monthly
469;469;5;IVLU;2020-11-15;buy;100;monthly
470;470;5;IVLU;2020-12-15;sell;108;monthly
471;471;5;IVLU;2021-01-15;buy;100;monthly
472;472;5;IVLU;2021-02-15;buy;100;monthly
473;473;5;IVLU;2021-03-15;buy;100;monthly
474;474;5;IVLU;2021-04-15;buy;100;monthly
475;475;5;IVLU;2021-05-15;buy;100;monthly
476;476;5;IVLU;2021-06-15;buy;100;monthly
477;477;5;IVLU;2021-07-15;buy;100;monthly
478;478;5;IVLU;2021-08-15;sell;7;monthly
479;479;5;IVLU;2021-09-15;buy;100;monthly
480;480;5;IVLU;2021-10-15;buy;100;monthly
481;481;5;IVLU;2021-11-15;buy;100;monthly
482;482;5;IVLU;2021-12-15;sell;82;monthly
483;483;5;IVLU;2022-01-15;buy;100;monthly
484;484;5;IVLU;2022-02-15;buy;100;monthly
485;485;5;IVLU;2022-03-15;buy;100;monthly
486;486;5;IVLU;2022-04-15;sell;48;monthly
487;487;5;IVLU;2022-05-15;buy;100;monthly
488;488;5;IVLU;2022-06-15;buy;100;monthly
489;489;5;IVLU;2022-07-15;sell;112;monthly
490;490;5;IVLU;2022-08-15;buy;100;monthly
491;491;5;IVLU;2022-09-15;buy;100;monthly
492;492;5;IVLU;2022-10-15;buy;100;monthly
493;493;5;IVLU;2022-11-15;buy;100;monthly
494;494;5;IVLU;2022-12-15;buy;100;monthly
495;495;5;IVLU;2023-01-15;buy;100;monthly
496;496;5;IVLU;2023-02-15;sell;81;monthly
497;497;5;IVLU;2023-03-15;buy;100;monthly
498;498;5;IVLU;2023-04-15;buy;100;monthly
499;499;5;IVLU;2023-05-15;buy;100;monthly
500;500;5;IVLU;2023-06-15;buy;100;monthly
501;501;5;IVLU;2023-07-15;buy;100;monthly
502;502;5;IVLU;2023-08-15;sell;125;monthly
503;503;5;IVLU;2023-09-15;buy;100;monthly
504;504;5;IVLU;2023-10-15;buy;100;monthly
505;505;5;IVLU;2023-11-15;buy;100;monthly
506;506;5;IXUS;2019-07-15;buy;1700;quarterly
507;507;5;IXUS;2019-10-15;buy;1700;quarterly
508;508;5;IXUS;2020-01-15;buy;1700;quarterly
509;509;5;IXUS;2020-04-15;buy;1700;quarterly
510;510;5;IXUS;2020-07-15;buy;1700;quarterly
511;511;5;IXUS;2020-10-15;buy;1700;quarterly
